arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,15,advection,0.5,1,0.779351
CorrDiff,15,advection,0.5,5,0.893793
CorrDiff,15,advection,0.5,11,0.938270
CorrDiff,15,advection,0.5,21,0.965149
CorrDiff,15,advection,0.5,51,0.986161
CorrDiff,15,advection,0.5,101,0.993551
CorrDiff,15,advection,1,1,0.716718
CorrDiff,15,advection,1,5,0.859126
CorrDiff,15,advection,1,11,0.917314
CorrDiff,15,advection,1,21,0.953286
CorrDiff,15,advection,1,51,0.981438
CorrDiff,15,advection,1,101,0.990909
CorrDiff,15,advection,2,1,0.615825
CorrDiff,15,advection,2,5,0.799373
CorrDiff,15,advection,2,11,0.879712
CorrDiff,15,advection,2,21,0.929971
CorrDiff,15,advection,2,51,0.970300
CorrDiff,15,advection,2,101,0.984675
CorrDiff,15,advection,4,1,0.473316
CorrDiff,15,advection,4,5,0.706739
CorrDiff,15,advection,4,11,0.821721
CorrDiff,15,advection,4,21,0.893797
CorrDiff,15,advection,4,51,0.949497
CorrDiff,15,advection,4,101,0.970489
CorrDiff,15,advection,8,1,0.337340
CorrDiff,15,advection,8,5,0.603000
CorrDiff,15,advection,8,11,0.756484
CorrDiff,15,advection,8,21,0.848470
CorrDiff,15,advection,8,51,0.923256
CorrDiff,15,advection,8,101,0.952102
CorrDiff,15,model_m0,0.5,1,0.764179
CorrDiff,15,model_m0,0.5,5,0.886815
CorrDiff,15,model_m0,0.5,11,0.936149
CorrDiff,15,model_m0,0.5,21,0.965792
CorrDiff,15,model_m0,0.5,51,0.987831
CorrDiff,15,model_m0,0.5,101,0.994888
CorrDiff,15,model_m0,1,1,0.700208
CorrDiff,15,model_m0,1,5,0.851044
CorrDiff,15,model_m0,1,11,0.914292
CorrDiff,15,model_m0,1,21,0.953300
CorrDiff,15,model_m0,1,51,0.982949
CorrDiff,15,model_m0,1,101,0.992485
CorrDiff,15,model_m0,2,1,0.602702
CorrDiff,15,model_m0,2,5,0.792434
CorrDiff,15,model_m0,2,11,0.876654
CorrDiff,15,model_m0,2,21,0.929693
CorrDiff,15,model_m0,2,51,0.971645
CorrDiff,15,model_m0,2,101,0.986167
CorrDiff,15,model_m0,4,1,0.475133
CorrDiff,15,model_m0,4,5,0.704312
CorrDiff,15,model_m0,4,11,0.817690
CorrDiff,15,model_m0,4,21,0.893105
CorrDiff,15,model_m0,4,51,0.953485
CorrDiff,15,model_m0,4,101,0.974828
CorrDiff,15,model_m0,8,1,0.337208
CorrDiff,15,model_m0,8,5,0.570512
CorrDiff,15,model_m0,8,11,0.708317
CorrDiff,15,model_m0,8,21,0.812531
CorrDiff,15,model_m0,8,51,0.904845
CorrDiff,15,model_m0,8,101,0.940197
CorrDiff,15,model_mean,0.5,1,0.811898
CorrDiff,15,model_mean,0.5,5,0.912049
CorrDiff,15,model_mean,0.5,11,0.948565
CorrDiff,15,model_mean,0.5,21,0.969762
CorrDiff,15,model_mean,0.5,51,0.985685
CorrDiff,15,model_mean,0.5,101,0.991162
CorrDiff,15,model_mean,1,1,0.767467
CorrDiff,15,model_mean,1,5,0.889702
CorrDiff,15,model_mean,1,11,0.935135
CorrDiff,15,model_mean,1,21,0.962176
CorrDiff,15,model_mean,1,51,0.983036
CorrDiff,15,model_mean,1,101,0.990180
CorrDiff,15,model_mean,2,1,0.689587
CorrDiff,15,model_mean,2,5,0.847635
CorrDiff,15,model_mean,2,11,0.909336
CorrDiff,15,model_mean,2,21,0.946721
CorrDiff,15,model_mean,2,51,0.976143
CorrDiff,15,model_mean,2,101,0.986643
CorrDiff,15,model_mean,4,1,0.573684
CorrDiff,15,model_mean,4,5,0.775111
CorrDiff,15,model_mean,4,11,0.859927
CorrDiff,15,model_mean,4,21,0.913854
CorrDiff,15,model_mean,4,51,0.956336
CorrDiff,15,model_mean,4,101,0.972295
CorrDiff,15,model_mean,8,1,0.428214
CorrDiff,15,model_mean,8,5,0.647917
CorrDiff,15,model_mean,8,11,0.756705
CorrDiff,15,model_mean,8,21,0.834158
CorrDiff,15,model_mean,8,51,0.903961
CorrDiff,15,model_mean,8,101,0.932017
CorrDiff,15,persistence,0.5,1,0.644923
CorrDiff,15,persistence,0.5,5,0.763315
CorrDiff,15,persistence,0.5,11,0.842810
CorrDiff,15,persistence,0.5,21,0.912684
CorrDiff,15,persistence,0.5,51,0.970793
CorrDiff,15,persistence,0.5,101,0.987962
CorrDiff,15,persistence,1,1,0.570306
CorrDiff,15,persistence,1,5,0.707370
CorrDiff,15,persistence,1,11,0.802097
CorrDiff,15,persistence,1,21,0.888079
CorrDiff,15,persistence,1,51,0.962242
CorrDiff,15,persistence,1,101,0.984068
CorrDiff,15,persistence,2,1,0.465241
CorrDiff,15,persistence,2,5,0.621696
CorrDiff,15,persistence,2,11,0.735414
CorrDiff,15,persistence,2,21,0.843780
CorrDiff,15,persistence,2,51,0.944325
CorrDiff,15,persistence,2,101,0.976403
CorrDiff,15,persistence,4,1,0.348916
CorrDiff,15,persistence,4,5,0.511875
CorrDiff,15,persistence,4,11,0.639655
CorrDiff,15,persistence,4,21,0.772339
CorrDiff,15,persistence,4,51,0.909462
CorrDiff,15,persistence,4,101,0.956281
CorrDiff,15,persistence,8,1,0.233925
CorrDiff,15,persistence,8,5,0.359699
CorrDiff,15,persistence,8,11,0.495811
CorrDiff,15,persistence,8,21,0.673889
CorrDiff,15,persistence,8,51,0.873238
CorrDiff,15,persistence,8,101,0.933499
CorrDiff,30,advection,0.5,1,0.694665
CorrDiff,30,advection,0.5,5,0.811057
CorrDiff,30,advection,0.5,11,0.871742
CorrDiff,30,advection,0.5,21,0.915994
CorrDiff,30,advection,0.5,51,0.959988
CorrDiff,30,advection,0.5,101,0.979825
CorrDiff,30,advection,1,1,0.618446
CorrDiff,30,advection,1,5,0.758480
CorrDiff,30,advection,1,11,0.834481
CorrDiff,30,advection,1,21,0.891027
CorrDiff,30,advection,1,51,0.948239
CorrDiff,30,advection,1,101,0.973685
CorrDiff,30,advection,2,1,0.500008
CorrDiff,30,advection,2,5,0.670283
CorrDiff,30,advection,2,11,0.769339
CorrDiff,30,advection,2,21,0.844123
CorrDiff,30,advection,2,51,0.920728
CorrDiff,30,advection,2,101,0.957439
CorrDiff,30,advection,4,1,0.340423
CorrDiff,30,advection,4,5,0.536874
CorrDiff,30,advection,4,11,0.667077
CorrDiff,30,advection,4,21,0.768201
CorrDiff,30,advection,4,51,0.875250
CorrDiff,30,advection,4,101,0.928572
CorrDiff,30,advection,8,1,0.186046
CorrDiff,30,advection,8,5,0.369951
CorrDiff,30,advection,8,11,0.529748
CorrDiff,30,advection,8,21,0.666259
CorrDiff,30,advection,8,51,0.814872
CorrDiff,30,advection,8,101,0.881864
CorrDiff,30,model_m0,0.5,1,0.687226
CorrDiff,30,model_m0,0.5,5,0.808581
CorrDiff,30,model_m0,0.5,11,0.873241
CorrDiff,30,model_m0,0.5,21,0.921589
CorrDiff,30,model_m0,0.5,51,0.967539
CorrDiff,30,model_m0,0.5,101,0.985576
CorrDiff,30,model_m0,1,1,0.612938
CorrDiff,30,model_m0,1,5,0.757590
CorrDiff,30,model_m0,1,11,0.836599
CorrDiff,30,model_m0,1,21,0.897120
CorrDiff,30,model_m0,1,51,0.956311
CorrDiff,30,model_m0,1,101,0.980746
CorrDiff,30,model_m0,2,1,0.501515
CorrDiff,30,model_m0,2,5,0.672551
CorrDiff,30,model_m0,2,11,0.771129
CorrDiff,30,model_m0,2,21,0.849142
CorrDiff,30,model_m0,2,51,0.928830
CorrDiff,30,model_m0,2,101,0.964825
CorrDiff,30,model_m0,4,1,0.366166
CorrDiff,30,model_m0,4,5,0.554355
CorrDiff,30,model_m0,4,11,0.675085
CorrDiff,30,model_m0,4,21,0.779158
CorrDiff,30,model_m0,4,51,0.889709
CorrDiff,30,model_m0,4,101,0.938362
CorrDiff,30,model_m0,8,1,0.235553
CorrDiff,30,model_m0,8,5,0.404310
CorrDiff,30,model_m0,8,11,0.534482
CorrDiff,30,model_m0,8,21,0.661224
CorrDiff,30,model_m0,8,51,0.808274
CorrDiff,30,model_m0,8,101,0.866647
CorrDiff,30,model_mean,0.5,1,0.745166
CorrDiff,30,model_mean,0.5,5,0.848517
CorrDiff,30,model_mean,0.5,11,0.897355
CorrDiff,30,model_mean,0.5,21,0.931848
CorrDiff,30,model_mean,0.5,51,0.964558
CorrDiff,30,model_mean,0.5,101,0.978234
CorrDiff,30,model_mean,1,1,0.692008
CorrDiff,30,model_mean,1,5,0.814654
CorrDiff,30,model_mean,1,11,0.874232
CorrDiff,30,model_mean,1,21,0.917402
CorrDiff,30,model_mean,1,51,0.959130
CorrDiff,30,model_mean,1,101,0.976869
CorrDiff,30,model_mean,2,1,0.597136
CorrDiff,30,model_mean,2,5,0.750414
CorrDiff,30,model_mean,2,11,0.828142
CorrDiff,30,model_mean,2,21,0.886894
CorrDiff,30,model_mean,2,51,0.943259
CorrDiff,30,model_mean,2,101,0.967403
CorrDiff,30,model_mean,4,1,0.462142
CorrDiff,30,model_mean,4,5,0.643696
CorrDiff,30,model_mean,4,11,0.741972
CorrDiff,30,model_mean,4,21,0.820836
CorrDiff,30,model_mean,4,51,0.897253
CorrDiff,30,model_mean,4,101,0.930476
CorrDiff,30,model_mean,8,1,0.302932
CorrDiff,30,model_mean,8,5,0.471698
CorrDiff,30,model_mean,8,11,0.582905
CorrDiff,30,model_mean,8,21,0.687915
CorrDiff,30,model_mean,8,51,0.795520
CorrDiff,30,model_mean,8,101,0.835687
CorrDiff,30,persistence,0.5,1,0.560712
CorrDiff,30,persistence,0.5,5,0.665127
CorrDiff,30,persistence,0.5,11,0.739045
CorrDiff,30,persistence,0.5,21,0.817231
CorrDiff,30,persistence,0.5,51,0.918264
CorrDiff,30,persistence,0.5,101,0.961602
CorrDiff,30,persistence,1,1,0.480605
CorrDiff,30,persistence,1,5,0.597629
CorrDiff,30,persistence,1,11,0.682332
CorrDiff,30,persistence,1,21,0.774337
CorrDiff,30,persistence,1,51,0.897690
CorrDiff,30,persistence,1,101,0.951493
CorrDiff,30,persistence,2,1,0.369951
CorrDiff,30,persistence,2,5,0.494759
CorrDiff,30,persistence,2,11,0.588736
CorrDiff,30,persistence,2,21,0.696705
CorrDiff,30,persistence,2,51,0.853123
CorrDiff,30,persistence,2,101,0.929065
CorrDiff,30,persistence,4,1,0.253428
CorrDiff,30,persistence,4,5,0.366268
CorrDiff,30,persistence,4,11,0.456624
CorrDiff,30,persistence,4,21,0.572934
CorrDiff,30,persistence,4,51,0.766016
CorrDiff,30,persistence,4,101,0.877732
CorrDiff,30,persistence,8,1,0.164059
CorrDiff,30,persistence,8,5,0.233114
CorrDiff,30,persistence,8,11,0.302467
CorrDiff,30,persistence,8,21,0.430446
CorrDiff,30,persistence,8,51,0.681507
CorrDiff,30,persistence,8,101,0.820175
CorrDiff,45,advection,0.5,1,0.631419
CorrDiff,45,advection,0.5,5,0.743027
CorrDiff,45,advection,0.5,11,0.810821
CorrDiff,45,advection,0.5,21,0.866241
CorrDiff,45,advection,0.5,51,0.928889
CorrDiff,45,advection,0.5,101,0.961801
CorrDiff,45,advection,1,1,0.547788
CorrDiff,45,advection,1,5,0.678766
CorrDiff,45,advection,1,11,0.761597
CorrDiff,45,advection,1,21,0.830718
CorrDiff,45,advection,1,51,0.910107
CorrDiff,45,advection,1,101,0.951310
CorrDiff,45,advection,2,1,0.423181
