timestamp,split,n_crops,wet_fraction,heavy_fraction,mean_mmh,p99_mmh,p99_9_mmh,max_mmh,concentration
202601010145,test,7,0.072009,0.00015563,0.0881,2.511,5.703,46.04,0.7919
202601010200,test,7,0.075909,0.00017530,0.0877,2.435,5.687,46.53,0.7492
202601010215,test,7,0.079339,0.00016932,0.0890,2.435,5.277,56.16,0.6651
202601010230,test,8,0.081030,0.00017872,0.0921,2.384,5.124,67.54,0.6323
202601010245,test,8,0.083006,0.00019069,0.0933,2.395,5.313,23.90,0.6401
202601010300,test,8,0.086013,0.00016418,0.0961,2.506,5.352,53.59,0.6222
202601010315,test,8,0.086702,0.00029844,0.0951,2.399,5.480,38.30,0.6321
202601010330,test,8,0.087227,0.00015991,0.0935,2.349,5.170,32.17,0.5927
202601010345,test,8,0.088084,0.00021977,0.0930,2.289,5.273,36.42,0.5986
202601010400,test,8,0.086399,0.00015392,0.0879,2.233,5.004,27.36,0.5791
202601010415,test,7,0.086603,0.00019155,0.0891,2.252,5.001,39.79,0.5774
202601010430,test,8,0.087817,0.00020438,0.0890,2.251,5.063,43.48,0.5765
202601010445,test,8,0.089880,0.00025568,0.0922,2.249,5.191,28.19,0.5775
202601010500,test,8,0.089706,0.00022233,0.0931,2.261,5.180,23.64,0.5775
202601010515,test,9,0.092254,0.00020352,0.1022,2.577,5.503,23.65,0.5965
202601010530,test,8,0.092115,0.00025312,0.1034,2.606,5.476,52.59,0.5945
202601010545,test,9,0.092929,0.00028647,0.1096,2.739,6.018,33.18,0.6476
202601010600,test,8,0.092009,0.00036942,0.1113,2.818,6.379,43.79,0.6934
202601010615,test,8,0.090235,0.00036086,0.1088,2.799,6.263,24.10,0.6940
202601010630,test,8,0.087030,0.00038053,0.1058,2.802,6.173,28.68,0.7093
202601010645,test,6,0.084510,0.00036429,0.1008,2.623,6.150,131.08,0.7277
202601010700,test,6,0.081429,0.00024029,0.0936,2.472,5.762,25.44,0.7077
202601010715,test,6,0.077872,0.00024115,0.0872,2.368,5.630,16.71,0.7230
202601010730,test,6,0.075829,0.00021207,0.0797,2.112,5.261,17.02,0.6938
202601010745,test,7,0.075923,0.00017103,0.0773,2.031,4.958,27.76,0.6531
202601010800,test,7,0.076932,0.00013939,0.0797,2.091,4.941,30.46,0.6423
202601010815,test,6,0.076573,0.00012912,0.0793,2.093,5.001,22.96,0.6531
202601010830,test,6,0.077121,0.00017958,0.0800,2.093,5.043,36.22,0.6539
202601010845,test,7,0.077092,0.00015820,0.0806,2.110,5.025,28.27,0.6519
202601010900,test,6,0.077741,0.00020352,0.0815,2.139,5.007,77.71,0.6441
202601010915,test,5,0.079052,0.00023088,0.0861,2.311,5.358,67.17,0.6777
202601010930,test,5,0.080741,0.00025825,0.0886,2.370,5.309,26.97,0.6575
202601010945,test,7,0.083142,0.00026167,0.0924,2.418,5.288,29.13,0.6360
202601011000,test,7,0.087675,0.00020609,0.0956,2.408,5.076,37.91,0.5789
202601011015,test,7,0.092681,0.00024200,0.1019,2.486,5.191,47.73,0.5601
202601011030,test,7,0.096798,0.00032837,0.1056,2.503,5.650,27.37,0.5837
202601011045,test,8,0.101496,0.00036514,0.1128,2.669,5.867,46.26,0.5780
202601011100,test,8,0.105536,0.00046434,0.1223,2.806,6.304,45.59,0.5974
202601011115,test,8,0.107333,0.00051564,0.1286,2.862,6.229,35.26,0.5803
202601011130,test,8,0.107838,0.00046434,0.1324,2.965,6.318,39.71,0.5859
202601011145,test,8,0.108149,0.00047716,0.1349,3.011,6.367,70.80,0.5887
202601011200,test,8,0.107614,0.00053959,0.1345,2.998,6.664,32.89,0.6192
202601011215,test,8,0.108177,0.00075850,0.1378,3.057,7.236,48.79,0.6689
202601011230,test,8,0.107453,0.00076791,0.1359,2.984,7.289,39.24,0.6783
202601011245,test,8,0.106272,0.00073627,0.1340,2.963,7.203,34.73,0.6778
202601011300,test,8,0.104304,0.00055156,0.1311,2.981,6.733,53.44,0.6455
202601011315,test,8,0.102985,0.00055156,0.1289,2.912,6.602,26.99,0.6410
202601011330,test,8,0.103493,0.00067042,0.1290,2.927,6.863,23.51,0.6632
202601011345,test,8,0.103267,0.00058491,0.1279,2.896,6.749,45.19,0.6535
202601011400,test,7,0.101872,0.00069094,0.1283,2.958,7.017,37.75,0.6888
202601011415,test,8,0.100278,0.00081409,0.1299,3.014,7.411,35.46,0.7391
202601011430,test,8,0.097819,0.00062595,0.1226,2.886,6.612,26.24,0.6760
202601011445,test,7,0.098379,0.00071147,0.1260,2.986,6.978,51.03,0.7093
202601011500,test,7,0.098858,0.00061313,0.1237,2.934,6.690,33.79,0.6767
202601011515,test,6,0.098453,0.00064049,0.1228,2.916,6.894,37.39,0.7002
202601011530,test,6,0.097367,0.00060629,0.1213,2.915,6.787,32.34,0.6970
202601011545,test,6,0.096953,0.00054985,0.1216,2.915,6.580,95.23,0.6787
202601011600,test,7,0.098347,0.00049768,0.1224,2.905,6.211,26.25,0.6315
202601011615,test,7,0.101359,0.00043269,0.1221,2.820,6.091,28.81,0.6009
202601011630,test,7,0.103479,0.00044552,0.1190,2.709,6.240,28.26,0.6030
202601011645,test,8,0.108664,0.00034462,0.1243,2.799,5.948,25.67,0.5473
202601011700,test,8,0.112237,0.00027706,0.1267,2.711,5.715,53.66,0.5092
202601011715,test,9,0.113337,0.00034205,0.1277,2.707,5.916,27.19,0.5220
202601011730,test,10,0.111898,0.00043526,0.1291,2.748,6.279,31.79,0.5611
202601011745,test,10,0.110875,0.00037626,0.1301,2.777,6.232,31.14,0.5621
202601011800,test,10,0.109292,0.00036685,0.1256,2.726,6.211,33.68,0.5683
202601011815,test,9,0.106881,0.00037369,0.1214,2.681,6.013,22.34,0.5626
202601011830,test,9,0.104700,0.00037369,0.1199,2.672,6.217,26.55,0.5938
202601011845,test,9,0.105116,0.00039678,0.1212,2.703,6.397,21.93,0.6085
202601011900,test,10,0.109298,0.00045749,0.1266,2.762,6.627,29.72,0.6063
202601011915,test,9,0.109546,0.00039250,0.1280,2.801,6.608,69.86,0.6032
202601011930,test,8,0.109250,0.00039507,0.1283,2.877,6.511,39.36,0.5960
202601011945,test,8,0.108021,0.00045920,0.1263,2.800,6.621,40.09,0.6130
202601012000,test,8,0.107340,0.00049854,0.1265,2.851,6.678,32.79,0.6221
202601012015,test,8,0.106053,0.00040448,0.1258,2.882,6.345,35.88,0.5983
202601012030,test,8,0.105731,0.00054472,0.1308,2.946,6.965,48.00,0.6588
202601012045,test,8,0.104993,0.00069522,0.1337,3.047,7.270,54.02,0.6924
202601012100,test,7,0.104615,0.00078245,0.1371,3.169,7.436,39.94,0.7108
202601012115,test,7,0.106556,0.00080554,0.1416,3.229,7.526,41.37,0.7063
202601012130,test,8,0.107582,0.00102701,0.1494,3.375,8.067,48.21,0.7499
202601012145,test,8,0.111312,0.00110825,0.1552,3.376,8.266,41.22,0.7426
202601012200,test,8,0.114607,0.00120231,0.1585,3.411,8.499,44.39,0.7416
202601012215,test,8,0.115999,0.00114245,0.1623,3.480,8.288,28.41,0.7145
202601012230,test,8,0.116653,0.00100991,0.1629,3.458,8.024,23.91,0.6878
202601012245,test,8,0.117625,0.00095518,0.1667,3.560,7.871,28.78,0.6691
202601012300,test,8,0.117318,0.00084059,0.1655,3.477,7.655,49.59,0.6525
202601012315,test,8,0.119316,0.00110397,0.1664,3.465,8.233,23.30,0.6900
202601012330,test,8,0.120270,0.00120145,0.1678,3.509,8.483,35.93,0.7053
202601012345,test,8,0.121815,0.00115272,0.1718,3.656,8.354,39.12,0.6858
202601020145,test,7,0.130865,0.00113561,0.1879,3.754,8.360,23.55,0.6388
202601020200,test,7,0.132758,0.00125789,0.1891,3.725,8.602,38.05,0.6479
202601020215,test,6,0.133376,0.00098597,0.1861,3.727,7.973,40.33,0.5978
202601020230,test,6,0.133230,0.00092867,0.1865,3.689,7.860,42.12,0.5900
202601020245,test,6,0.133861,0.00108003,0.1900,3.691,8.157,36.37,0.6094
202601020300,test,7,0.133719,0.00123822,0.1936,3.738,8.582,67.81,0.6418
202601020315,test,7,0.134311,0.00127927,0.1936,3.723,8.614,53.19,0.6413
202601020330,test,7,0.133874,0.00114160,0.1865,3.560,8.311,72.53,0.6208
202601020345,test,7,0.134926,0.00129039,0.1913,3.725,8.640,52.17,0.6403
202601020400,test,7,0.135502,0.00131776,0.1942,3.773,8.653,75.51,0.6386
202601020415,test,8,0.136263,0.00125618,0.1941,3.744,8.530,41.52,0.6260
202601020430,test,10,0.139535,0.00115015,0.1958,3.683,8.303,28.28,0.5951
202601020445,test,9,0.142914,0.00105694,0.2005,3.657,8.125,31.96,0.5685
202601020500,test,9,0.141147,0.00100820,0.2019,3.708,8.024,43.55,0.5685
202601020515,test,9,0.141779,0.00110483,0.2060,3.821,8.231,58.60,0.5805
202601020530,test,9,0.141052,0.00097741,0.1991,3.717,7.947,110.40,0.5634
202601020545,test,9,0.140899,0.00102787,0.2016,3.766,8.083,144.90,0.5737
202601020600,test,8,0.141350,0.00097742,0.1994,3.694,7.950,58.21,0.5625
202601020615,test,8,0.142114,0.00130065,0.2049,3.714,8.509,56.81,0.5987
202601020630,test,8,0.144767,0.00145971,0.2100,3.805,8.678,40.45,0.5995
