GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-e3883126-d41d-c007-e678-7574858270e2)
host gpuhost015.jc.rl.ac.uk | CUDA ok | Mon 10 Aug 20:00:56 BST 2026
args: /home/users/dv321/miniforge3/envs/nowcast/bin/python /home/users/dv321/dissertation/Code/3 - Diffusion stage/evaluate_diffusion.py --churn 0.0 --guidance 1.0 --members 8 --steps 50 --limit 3000 --seed 0 --out /home/users/dv321/dissertation_outputs/hpo/sampler/eval --tag _trial_002_r0 --ckpt /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt --vae /home/users/dv321/dissertation_outputs/vae_v2/vae_ep17.pt --latents-dir /work/scratch-nopw2/dv321/dissertation/latents_ml_ep17 --split val --lead 60 --batch 16
  crops 3000/13281 (stride) | first 20241121 | last 20251202
denoiser: /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt
  epoch 50 | val_loss 0.3314 | 65.7M params | cond=full | in_ch=24 | sigma_data=0.7407 | leads [15, 30, 45, 60]
  16/3000 crops | 0.77 crops/s | eta 65 min
  32/3000 crops | 0.78 crops/s | eta 63 min
  48/3000 crops | 0.78 crops/s | eta 63 min
  64/3000 crops | 0.79 crops/s | eta 62 min
  80/3000 crops | 0.79 crops/s | eta 62 min
  96/3000 crops | 0.79 crops/s | eta 61 min
  112/3000 crops | 0.79 crops/s | eta 61 min
  128/3000 crops | 0.79 crops/s | eta 61 min
  144/3000 crops | 0.79 crops/s | eta 60 min
  160/3000 crops | 0.79 crops/s | eta 60 min
  176/3000 crops | 0.79 crops/s | eta 60 min
  192/3000 crops | 0.79 crops/s | eta 59 min
  208/3000 crops | 0.79 crops/s | eta 59 min
  224/3000 crops | 0.79 crops/s | eta 59 min
  240/3000 crops | 0.79 crops/s | eta 58 min
  256/3000 crops | 0.79 crops/s | eta 58 min
  272/3000 crops | 0.79 crops/s | eta 57 min
  288/3000 crops | 0.79 crops/s | eta 57 min
  304/3000 crops | 0.79 crops/s | eta 57 min
  320/3000 crops | 0.79 crops/s | eta 56 min
