GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-ee251011-af7c-cee8-5f10-127f70ad06c4)
host gpuhost015.jc.rl.ac.uk | CUDA ok | Mon 10 Aug 20:00:56 BST 2026
args: /home/users/dv321/miniforge3/envs/nowcast/bin/python /home/users/dv321/dissertation/Code/3 - Diffusion stage/evaluate_diffusion.py --churn 0.0 --guidance 1.0 --members 4 --steps 25 --limit 3000 --seed 0 --out /home/users/dv321/dissertation_outputs/hpo/sampler/eval --tag _trial_003_r0 --ckpt /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt --vae /home/users/dv321/dissertation_outputs/vae_v2/vae_ep17.pt --latents-dir /work/scratch-nopw2/dv321/dissertation/latents_ml_ep17 --split val --lead 60 --batch 16
  crops 3000/13281 (stride) | first 20241121 | last 20251202
denoiser: /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt
  epoch 50 | val_loss 0.3314 | 65.7M params | cond=full | in_ch=24 | sigma_data=0.7407 | leads [15, 30, 45, 60]
  16/3000 crops | 2.55 crops/s | eta 20 min
  32/3000 crops | 2.64 crops/s | eta 19 min
  48/3000 crops | 2.69 crops/s | eta 18 min
  64/3000 crops | 2.70 crops/s | eta 18 min
  80/3000 crops | 2.72 crops/s | eta 18 min
  96/3000 crops | 2.74 crops/s | eta 18 min
  112/3000 crops | 2.74 crops/s | eta 18 min
  128/3000 crops | 2.74 crops/s | eta 17 min
  144/3000 crops | 2.74 crops/s | eta 17 min
  160/3000 crops | 2.74 crops/s | eta 17 min
  176/3000 crops | 2.74 crops/s | eta 17 min
  192/3000 crops | 2.75 crops/s | eta 17 min
  208/3000 crops | 2.75 crops/s | eta 17 min
  224/3000 crops | 2.76 crops/s | eta 17 min
  240/3000 crops | 2.76 crops/s | eta 17 min
  256/3000 crops | 2.76 crops/s | eta 17 min
  272/3000 crops | 2.76 crops/s | eta 16 min
  288/3000 crops | 2.76 crops/s | eta 16 min
  304/3000 crops | 2.76 crops/s | eta 16 min
  320/3000 crops | 2.76 crops/s | eta 16 min
  336/3000 crops | 2.76 crops/s | eta 16 min
  352/3000 crops | 2.76 crops/s | eta 16 min
  368/3000 crops | 2.76 crops/s | eta 16 min
  384/3000 crops | 2.77 crops/s | eta 16 min
  400/3000 crops | 2.77 crops/s | eta 16 min
  416/3000 crops | 2.77 crops/s | eta 16 min
  432/3000 crops | 2.77 crops/s | eta 15 min
  448/3000 crops | 2.77 crops/s | eta 15 min
  464/3000 crops | 2.77 crops/s | eta 15 min
  480/3000 crops | 2.77 crops/s | eta 15 min
  496/3000 crops | 2.77 crops/s | eta 15 min
  512/3000 crops | 2.77 crops/s | eta 15 min
  528/3000 crops | 2.77 crops/s | eta 15 min
  544/3000 crops | 2.77 crops/s | eta 15 min
  560/3000 crops | 2.77 crops/s | eta 15 min
  576/3000 crops | 2.77 crops/s | eta 15 min
  592/3000 crops | 2.77 crops/s | eta 14 min
